"package","version","declared_licence","repository_paths"
"@babel/code-frame","7.29.0","MIT","node_modules/@babel/code-frame"
"@babel/helper-validator-identifier","7.28.5","MIT","node_modules/@babel/helper-validator-identifier"
"@borewit/text-codec","0.2.2","MIT","node_modules/@borewit/text-codec"
"@cspotcode/source-map-support","0.8.1","MIT","node_modules/@cspotcode/source-map-support"
"@emnapi/runtime","1.11.3","MIT","node_modules/@emnapi/runtime"
"@img/colour","1.1.0","MIT","node_modules/@img/colour"
"@img/sharp-wasm32","0.35.4","Apache-2.0 AND LGPL-3.0-or-later AND MIT","node_modules/@img/sharp-wasm32"
"@img/sharp-win32-x64","0.35.4","Apache-2.0 AND LGPL-3.0-or-later","node_modules/@img/sharp-win32-x64"
"@ioredis/commands","1.10.0","MIT","node_modules/@ioredis/commands"
"@isaacs/cliui","8.0.2","ISC","node_modules/@isaacs/cliui"
"@jridgewell/resolve-uri","3.1.2","MIT","node_modules/@jridgewell/resolve-uri"
"@jridgewell/sourcemap-codec","1.5.5","MIT","node_modules/@jridgewell/sourcemap-codec"
"@jridgewell/trace-mapping","0.3.9","MIT","node_modules/@cspotcode/source-map-support/node_modules/@jridgewell/trace-mapping"
"@lukeed/csprng","1.1.0","MIT","node_modules/@lukeed/csprng"
"@mapbox/node-pre-gyp","1.0.11","BSD-3-Clause","node_modules/@mapbox/node-pre-gyp"
"@microsoft/tsdoc","0.15.1","MIT","node_modules/@microsoft/tsdoc"
"@msgpackr-extract/msgpackr-extract-win32-x64","3.0.4","MIT","node_modules/@msgpackr-extract/msgpackr-extract-win32-x64"
"@nestjs/common","10.4.22","MIT","node_modules/@nestjs/common"
"@nestjs/config","3.3.0","MIT","node_modules/@nestjs/config"
"@nestjs/core","10.4.22","MIT","node_modules/@nestjs/core"
"@nestjs/event-emitter","3.1.0","MIT","node_modules/@nestjs/event-emitter"
"@nestjs/jwt","10.2.0","MIT","node_modules/@nestjs/jwt"
"@nestjs/mapped-types","2.0.5","MIT","node_modules/@nestjs/swagger/node_modules/@nestjs/mapped-types"
"@nestjs/mapped-types","2.1.0","MIT","node_modules/@nestjs/mapped-types"
"@nestjs/platform-express","10.4.22","MIT","node_modules/@nestjs/platform-express"
"@nestjs/schedule","4.1.2","MIT","node_modules/@nestjs/schedule"
"@nestjs/swagger","7.4.2","MIT","node_modules/@nestjs/swagger"
"@nestjs/terminus","11.1.1","MIT","node_modules/@nestjs/terminus"
