"package","version","in_repository_production_resolution","in_packaged_application","packaged_instance_count","declared_licence","collected_direct_text_count","technical_classification"
"@babel/code-frame","7.29.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"@babel/helper-validator-identifier","7.28.5","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"@borewit/text-codec","0.2.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"@cspotcode/source-map-support","0.8.1","true","false","0","MIT","0","NOT_SHIPPED"
"@emnapi/runtime","1.11.3","true","false","0","MIT","0","NOT_SHIPPED"
"@img/colour","1.1.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"@img/sharp-wasm32","0.35.4","true","false","0","Apache-2.0 AND LGPL-3.0-or-later AND MIT","0","NOT_SHIPPED"
"@img/sharp-win32-x64","0.35.4","true","true","1","Apache-2.0 AND LGPL-3.0-or-later","1","SHIPPED_LEGAL_COPYLEFT_REVIEW"
"@ioredis/commands","1.10.0","true","false","0","MIT","0","NOT_SHIPPED"
"@isaacs/cliui","8.0.2","true","true","1","ISC","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"@jridgewell/resolve-uri","3.1.2","true","false","0","MIT","0","NOT_SHIPPED"
"@jridgewell/sourcemap-codec","1.5.5","true","false","0","MIT","0","NOT_SHIPPED"
"@jridgewell/trace-mapping","0.3.9","true","false","0","MIT","0","NOT_SHIPPED"
"@lukeed/csprng","1.1.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"@mapbox/node-pre-gyp","1.0.11","true","false","0","BSD-3-Clause","0","NOT_SHIPPED"
"@microsoft/tsdoc","0.15.1","true","false","0","MIT","0","NOT_SHIPPED"
"@msgpackr-extract/msgpackr-extract-win32-x64","3.0.4","true","false","0","MIT","0","NOT_SHIPPED"
"@nestjs/common","10.4.22","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"@nestjs/config","3.3.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"@nestjs/core","10.4.22","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"@nestjs/event-emitter","3.1.0","true","false","0","MIT","0","NOT_SHIPPED"
